,year,geo_type_name,borough,geography,geography_id,adults_12mo_asthma_age_adjusted_percent,adults_12mo_asthma_number,adults_12mo_asthma_percent
0,2003,citywide,new york city, new york city,1,4.6,244000.0,4.6
1,2004,citywide,new york city, new york city,1,4.9,297000.0,4.9
2,2006,citywide,new york city, new york city,1,5.3,318000.0,5.3
3,2007,citywide,new york city, new york city,1,4.4,266000.0,4.4
4,2008,citywide,new york city, new york city,1,5.3,322000.0,5.3
5,2009,citywide,new york city, new york city,1,4.1,248000.0,4.1
6,2010,citywide,new york city, new york city,1,3.8,226000.0,3.7
7,2011,citywide,new york city, new york city,1,4.4,277000.0,4.5
8,2012,citywide,new york city, new york city,1,4.6,290000.0,4.6
9,2013,citywide,new york city, new york city,1,3.9,246000.0,3.9
10,2014,citywide,new york city, new york city,1,3.7,238000.0,3.7
11,2016,citywide,new york city, new york city,1,4.7,230000.0,4.7
12,2017,citywide,new york city, new york city,1,4.3,289000.0,4.4
13,2003,borough,bronx, bronx,1,6.7,52000.0,6.4
14,2004,borough,bronx, bronx,1,7.6,70000.0,7.5
15,2006,borough,bronx, bronx,1,7.4,69000.0,7.4
16,2007,borough,bronx, bronx,1,5.1,46000.0,5.0
17,2008,borough,bronx, bronx,1,8.1,76000.0,8.2
18,2009,borough,bronx, bronx,1,6.6,61000.0,6.6
19,2010,borough,bronx, bronx,1,5.9,54000.0,5.9
20,2011,borough,bronx, bronx,1,7.2,69000.0,7.0
21,2012,borough,bronx, bronx,1,7.6,76000.0,7.7
22,2013,borough,bronx, bronx,1,6.3,60000.0,6.0
23,2014,borough,bronx, bronx,1,4.7,48000.0,4.7
24,2016,borough,bronx, bronx,1,6.1,46000.0,6.2
25,2017,borough,bronx, bronx,1,6.8,74000.0,6.2
26,2003,borough,brooklyn, brooklyn,2,4.4,69000.0,4.3
27,2004,borough,brooklyn, brooklyn,2,5.5,100000.0,5.5
28,2006,borough,brooklyn, brooklyn,2,5.0,89000.0,5.0
29,2007,borough,brooklyn, brooklyn,2,4.2,74000.0,4.1
30,2008,borough,brooklyn, brooklyn,2,3.9,70000.0,3.9
31,2009,borough,brooklyn, brooklyn,2,4.0,71000.0,4.0
32,2010,borough,brooklyn, brooklyn,2,3.1,56000.0,3.1
33,2011,borough,brooklyn, brooklyn,2,4.6,86000.0,4.6
34,2012,borough,brooklyn, brooklyn,2,4.2,82000.0,4.3
35,2013,borough,brooklyn, brooklyn,2,4.2,79000.0,4.1
36,2014,borough,brooklyn, brooklyn,2,3.0,59000.0,3.0
37,2016,borough,brooklyn, brooklyn,2,4.1,60000.0,4.1
38,2017,borough,brooklyn, brooklyn,2,3.7,73000.0,4.0
39,2003,borough,manhattan, manhattan,3,4.8,51000.0,4.6
40,2004,borough,manhattan, manhattan,3,4.3,53000.0,4.2
41,2006,borough,manhattan, manhattan,3,6.5,82000.0,6.5
42,2007,borough,manhattan, manhattan,3,4.6,57000.0,4.5
43,2008,borough,manhattan, manhattan,3,6.0,76000.0,6.0
44,2009,borough,manhattan, manhattan,3,2.7,33000.0,2.6
45,2010,borough,manhattan, manhattan,3,4.6,56000.0,4.4
46,2011,borough,manhattan, manhattan,3,3.5,44000.0,3.4
47,2012,borough,manhattan, manhattan,3,4.3,56000.0,4.3
48,2013,borough,manhattan, manhattan,3,4.3,56000.0,4.3
49,2014,borough,manhattan, manhattan,3,4.1,55000.0,4.2
50,2016,borough,manhattan, manhattan,3,4.2,43000.0,4.2
51,2017,borough,manhattan, manhattan,3,4.6,61000.0,4.1
52,2003,borough,queens, queens,4,3.8,60000.0,3.9
53,2004,borough,queens, queens,4,3.3,58000.0,3.3
54,2006,borough,queens, queens,4,3.8,64000.0,3.7
55,2007,borough,queens, queens,4,4.1,71000.0,4.1
56,2008,borough,queens, queens,4,4.8,83000.0,4.8
57,2009,borough,queens, queens,4,4.1,69000.0,4.0
58,2010,borough,queens, queens,4,2.6,44000.0,2.6
59,2011,borough,queens, queens,4,3.6,64000.0,3.7
60,2012,borough,queens, queens,4,3.6,63000.0,3.6
61,2013,borough,queens, queens,4,2.4,44000.0,2.5
62,2014,borough,queens, queens,4,3.2,59000.0,3.3
63,2016,borough,queens, queens,4,4.8,65000.0,4.7
64,2017,borough,queens, queens,4,3.9,76000.0,5.0
65,2003,borough,staten island, staten island,5,4.0,11000.0,4.0
66,2004,borough,staten island, staten island,5,5.1,17000.0,5.1
67,2006,borough,staten island, staten island,5,3.9,13000.0,4.0
68,2007,borough,staten island, staten island,5,5.3,18000.0,5.3
69,2008,borough,staten island, staten island,5,4.8,17000.0,5.0
70,2009,borough,staten island, staten island,5,4.0,13000.0,4.0
71,2010,borough,staten island, staten island,5,4.7,16000.0,4.8
72,2011,borough,staten island, staten island,5,4.2,14000.0,4.1
73,2012,borough,staten island, staten island,5,3.7,13000.0,3.6
74,2013,borough,staten island, staten island,5,1.9,6000.0,1.8
75,2014,borough,staten island, staten island,5,5.0,17000.0,4.8
76,2016,borough,staten island, staten island,5,6.0,16000.0,5.9
77,2017,borough,staten island, staten island,5,1.7,6000.0,6.3
78,2003,neighborhood (uhf 34),queens, bayside little neck-fresh meadows,404406,3.9,5000.0,4.0
79,2004,neighborhood (uhf 34),queens, bayside little neck-fresh meadows,404406,4.5,6000.0,3.9
80,2006,neighborhood (uhf 34),queens, bayside little neck-fresh meadows,404406,2.9,4000.0,2.8
81,2007,neighborhood (uhf 34),queens, bayside little neck-fresh meadows,404406,3.0,4000.0,3.1
82,2008,neighborhood (uhf 34),queens, bayside little neck-fresh meadows,404406,2.0,3000.0,2.1
83,2009,neighborhood (uhf 34),queens, bayside little neck-fresh meadows,404406,4.8,6000.0,4.5
84,2010,neighborhood (uhf 34),queens, bayside little neck-fresh meadows,404406,2.4,3000.0,2.4
85,2011,neighborhood (uhf 34),queens, bayside little neck-fresh meadows,404406,3.3,5000.0,3.1
86,2012,neighborhood (uhf 34),queens, bayside little neck-fresh meadows,404406,2.1,3000.0,2.1
87,2013,neighborhood (uhf 34),queens, bayside little neck-fresh meadows,404406,1.3,2000.0,1.3
88,2014,neighborhood (uhf 34),queens, bayside little neck-fresh meadows,404406,,,
89,2016,neighborhood (uhf 34),queens, bayside little neck-fresh meadows,404406,6.1,7000.0,6.4
90,2017,neighborhood (uhf 34),queens, bayside little neck-fresh meadows,404406,1.9,3000.0,2.2
91,2003,neighborhood (uhf 34),brooklyn, bedford stuyvesant - crown heights,203,5.9,12000.0,6.3
92,2004,neighborhood (uhf 34),brooklyn, bedford stuyvesant - crown heights,203,4.6,11000.0,4.8
93,2006,neighborhood (uhf 34),brooklyn, bedford stuyvesant - crown heights,203,7.7,17000.0,7.7
94,2007,neighborhood (uhf 34),brooklyn, bedford stuyvesant - crown heights,203,5.0,11000.0,5.2
95,2008,neighborhood (uhf 34),brooklyn, bedford stuyvesant - crown heights,203,3.1,7000.0,3.3
96,2009,neighborhood (uhf 34),brooklyn, bedford stuyvesant - crown heights,203,6.0,13000.0,6.2
97,2010,neighborhood (uhf 34),brooklyn, bedford stuyvesant - crown heights,203,3.8,9000.0,4.1
98,2011,neighborhood (uhf 34),brooklyn, bedford stuyvesant - crown heights,203,10.6,25000.0,10.7
99,2012,neighborhood (uhf 34),brooklyn, bedford stuyvesant - crown heights,203,2.6,7000.0,2.9
100,2013,neighborhood (uhf 34),brooklyn, bedford stuyvesant - crown heights,203,6.0,14000.0,6.1
101,2014,neighborhood (uhf 34),brooklyn, bedford stuyvesant - crown heights,203,2.0,5000.0,2.1
102,2016,neighborhood (uhf 34),brooklyn, bedford stuyvesant - crown heights,203,5.8,11000.0,5.6
103,2017,neighborhood (uhf 34),brooklyn, bedford stuyvesant - crown heights,203,7.5,19000.0,7.6
104,2003,neighborhood (uhf 34),brooklyn, bensonhurst - bay ridge,209,2.0,3000.0,2.1
105,2004,neighborhood (uhf 34),brooklyn, bensonhurst - bay ridge,209,3.8,6000.0,3.8
106,2006,neighborhood (uhf 34),brooklyn, bensonhurst - bay ridge,209,3.5,6000.0,3.8
107,2007,neighborhood (uhf 34),brooklyn, bensonhurst - bay ridge,209,4.5,7000.0,4.4
108,2008,neighborhood (uhf 34),brooklyn, bensonhurst - bay ridge,209,,,
109,2009,neighborhood (uhf 34),brooklyn, bensonhurst - bay ridge,209,3.5,5000.0,3.5
110,2010,neighborhood (uhf 34),brooklyn, bensonhurst - bay ridge,209,2.7,5000.0,2.9
111,2011,neighborhood (uhf 34),brooklyn, bensonhurst - bay ridge,209,,,
112,2012,neighborhood (uhf 34),brooklyn, bensonhurst - bay ridge,209,,,
113,2013,neighborhood (uhf 34),brooklyn, bensonhurst - bay ridge,209,,,
114,2014,neighborhood (uhf 34),brooklyn, bensonhurst - bay ridge,209,2.1,3000.0,2.0
115,2016,neighborhood (uhf 34),brooklyn, bensonhurst - bay ridge,209,4.5,,
116,2017,neighborhood (uhf 34),brooklyn, bensonhurst - bay ridge,209,2.2,4000.0,2.2
117,2003,neighborhood (uhf 34),brooklyn, borough park,206,3.9,8000.0,4.0
118,2004,neighborhood (uhf 34),brooklyn, borough park,206,3.2,7000.0,3.2
119,2006,neighborhood (uhf 34),brooklyn, borough park,206,2.7,6000.0,2.8
120,2007,neighborhood (uhf 34),brooklyn, borough park,206,2.0,5000.0,2.0
121,2008,neighborhood (uhf 34),brooklyn, borough park,206,3.5,8000.0,3.5
122,2009,neighborhood (uhf 34),brooklyn, borough park,206,0.8,2000.0,0.9
123,2010,neighborhood (uhf 34),brooklyn, borough park,206,1.8,4000.0,1.7
124,2011,neighborhood (uhf 34),brooklyn, borough park,206,3.2,8000.0,3.4
125,2012,neighborhood (uhf 34),brooklyn, borough park,206,4.0,10000.0,4.3
126,2013,neighborhood (uhf 34),brooklyn, borough park,206,3.7,8000.0,3.6
127,2014,neighborhood (uhf 34),brooklyn, borough park,206,3.1,8000.0,3.2
128,2016,neighborhood (uhf 34),brooklyn, borough park,206,2.4,4000.0,2.3
129,2017,neighborhood (uhf 34),brooklyn, borough park,206,2.2,6000.0,2.3
130,2003,neighborhood (uhf 34),brooklyn, canarsie - flatlands,208,3.8,4000.0,3.0
131,2004,neighborhood (uhf 34),brooklyn, canarsie - flatlands,208,3.9,5000.0,3.8
132,2006,neighborhood (uhf 34),brooklyn, canarsie - flatlands,208,,,
133,2007,neighborhood (uhf 34),brooklyn, canarsie - flatlands,208,2.5,4000.0,2.5
134,2008,neighborhood (uhf 34),brooklyn, canarsie - flatlands,208,3.0,4000.0,3.0
135,2009,neighborhood (uhf 34),brooklyn, canarsie - flatlands,208,2.3,3000.0,2.3
136,2010,neighborhood (uhf 34),brooklyn, canarsie - flatlands,208,3.3,5000.0,3.3
137,2011,neighborhood (uhf 34),brooklyn, canarsie - flatlands,208,,,
138,2012,neighborhood (uhf 34),brooklyn, canarsie - flatlands,208,6.0,9000.0,6.3
139,2013,neighborhood (uhf 34),brooklyn, canarsie - flatlands,208,4.3,6000.0,4.2
140,2014,neighborhood (uhf 34),brooklyn, canarsie - flatlands,208,,4000.0,2.8
141,2016,neighborhood (uhf 34),brooklyn, canarsie - flatlands,208,9.3,10000.0,7.6
142,2017,neighborhood (uhf 34),brooklyn, canarsie - flatlands,208,3.8,7000.0,4.4
143,2003,neighborhood (uhf 34),manhattan, central harlem - morningside heights,302,8.9,9000.0,8.4
144,2004,neighborhood (uhf 34),manhattan, central harlem - morningside heights,302,3.9,4000.0,3.9
145,2006,neighborhood (uhf 34),manhattan, central harlem - morningside heights,302,10.7,12000.0,10.5
146,2007,neighborhood (uhf 34),manhattan, central harlem - morningside heights,302,6.5,7000.0,6.5
147,2008,neighborhood (uhf 34),manhattan, central harlem - morningside heights,302,5.9,6000.0,5.6
148,2009,neighborhood (uhf 34),manhattan, central harlem - morningside heights,302,4.5,5000.0,4.5
149,2010,neighborhood (uhf 34),manhattan, central harlem - morningside heights,302,2.8,3000.0,2.6
150,2011,neighborhood (uhf 34),manhattan, central harlem - morningside heights,302,1.8,2000.0,1.8
151,2012,neighborhood (uhf 34),manhattan, central harlem - morningside heights,302,11.5,11000.0,9.5
152,2013,neighborhood (uhf 34),manhattan, central harlem - morningside heights,302,3.6,4000.0,3.4
153,2014,neighborhood (uhf 34),manhattan, central harlem - morningside heights,302,4.1,4000.0,3.6
154,2016,neighborhood (uhf 34),manhattan, central harlem - morningside heights,302,7.1,7000.0,8.0
155,2017,neighborhood (uhf 34),manhattan, central harlem - morningside heights,302,1.9,2000.0,1.8
156,2003,neighborhood (uhf 34),manhattan, chelsea-village,306308,5.0,9000.0,5.4
157,2004,neighborhood (uhf 34),manhattan, chelsea-village,306308,2.7,5000.0,2.7
158,2006,neighborhood (uhf 34),manhattan, chelsea-village,306308,4.3,8000.0,4.4
159,2007,neighborhood (uhf 34),manhattan, chelsea-village,306308,4.2,9000.0,4.6
160,2008,neighborhood (uhf 34),manhattan, chelsea-village,306308,7.4,13000.0,6.9
161,2009,neighborhood (uhf 34),manhattan, chelsea-village,306308,1.3,2000.0,1.1
162,2010,neighborhood (uhf 34),manhattan, chelsea-village,306308,2.7,4000.0,2.4
163,2011,neighborhood (uhf 34),manhattan, chelsea-village,306308,2.5,5000.0,2.4
164,2012,neighborhood (uhf 34),manhattan, chelsea-village,306308,2.9,5000.0,2.7
165,2013,neighborhood (uhf 34),manhattan, chelsea-village,306308,4.3,9000.0,4.4
166,2014,neighborhood (uhf 34),manhattan, chelsea-village,306308,4.0,9000.0,4.3
167,2016,neighborhood (uhf 34),manhattan, chelsea-village,306308,,,
168,2017,neighborhood (uhf 34),manhattan, chelsea-village,306308,3.7,7000.0,3.3
169,2003,neighborhood (uhf 34),brooklyn, coney island - sheepshead bay,210,2.7,6000.0,2.8
170,2004,neighborhood (uhf 34),brooklyn, coney island - sheepshead bay,210,4.5,10000.0,4.4
171,2006,neighborhood (uhf 34),brooklyn, coney island - sheepshead bay,210,3.5,8000.0,3.4
172,2007,neighborhood (uhf 34),brooklyn, coney island - sheepshead bay,210,4.5,11000.0,5.1
173,2008,neighborhood (uhf 34),brooklyn, coney island - sheepshead bay,210,4.6,11000.0,4.9
174,2009,neighborhood (uhf 34),brooklyn, coney island - sheepshead bay,210,3.5,8000.0,3.4
175,2010,neighborhood (uhf 34),brooklyn, coney island - sheepshead bay,210,1.7,4000.0,1.7
176,2011,neighborhood (uhf 34),brooklyn, coney island - sheepshead bay,210,4.1,11000.0,4.8
177,2012,neighborhood (uhf 34),brooklyn, coney island - sheepshead bay,210,5.5,14000.0,6.3
178,2013,neighborhood (uhf 34),brooklyn, coney island - sheepshead bay,210,2.3,6000.0,2.7
179,2014,neighborhood (uhf 34),brooklyn, coney island - sheepshead bay,210,3.2,9000.0,3.8
180,2016,neighborhood (uhf 34),brooklyn, coney island - sheepshead bay,210,3.0,5000.0,3.5
181,2017,neighborhood (uhf 34),brooklyn, coney island - sheepshead bay,210,2.5,7000.0,2.9
182,2003,neighborhood (uhf 34),brooklyn, downtown - heights - slope,202,6.5,9000.0,6.0
183,2004,neighborhood (uhf 34),brooklyn, downtown - heights - slope,202,8.8,15000.0,8.9
184,2006,neighborhood (uhf 34),brooklyn, downtown - heights - slope,202,6.4,12000.0,6.8
185,2007,neighborhood (uhf 34),brooklyn, downtown - heights - slope,202,4.3,8000.0,4.7
186,2008,neighborhood (uhf 34),brooklyn, downtown - heights - slope,202,3.5,6000.0,3.5
