UHF_42,Incident_Address_Zip,dust_count
bayside - littleneck,11361,4
bayside - littleneck,11362,1
bayside - littleneck,11363,3
bayside - littleneck,11364,3
bedford stuyvesant - crown heights,11212,24
bedford stuyvesant - crown heights,11213,67
bedford stuyvesant - crown heights,11216,154
bedford stuyvesant - crown heights,11233,71
bedford stuyvesant - crown heights,11238,104
bensonhurst - bay ridge,11209,26
bensonhurst - bay ridge,11214,19
bensonhurst - bay ridge,11228,14
borough park,11204,23
borough park,11218,27
borough park,11219,19
borough park,11230,34
canarsie - flatlands,11234,18
canarsie - flatlands,11236,15
canarsie - flatlands,11239,6
central harlem - morningside heights,10026,53
central harlem - morningside heights,10027,140
central harlem - morningside heights,10030,53
central harlem - morningside heights,10037,24
central harlem - morningside heights,10039,22
chelsea - clinton,10001,99
chelsea - clinton,10011,198
chelsea - clinton,10018,70
chelsea - clinton,10019,180
chelsea - clinton,10020,5
chelsea - clinton,10036,111
coney island - sheepshead bay,11223,20
coney island - sheepshead bay,11224,25
coney island - sheepshead bay,11229,30
coney island - sheepshead bay,11235,42
crotona -tremont,10453,31
crotona -tremont,10457,30
crotona -tremont,10460,11
downtown - heights - slope,11201,106
downtown - heights - slope,11205,51
downtown - heights - slope,11215,94
downtown - heights - slope,11217,91
downtown - heights - slope,11231,33
east flatbush - flatbush,11203,19
east flatbush - flatbush,11210,15
east flatbush - flatbush,11225,77
east flatbush - flatbush,11226,76
east harlem,10029,69
east harlem,10035,34
east new york,11207,28
east new york,11208,36
flushing - clearview,11354,22
flushing - clearview,11355,17
flushing - clearview,11356,5
flushing - clearview,11357,4
flushing - clearview,11358,7
flushing - clearview,11360,8
fordham - bronx pk,10458,28
fordham - bronx pk,10467,34
fordham - bronx pk,10468,29
fresh meadows,11365,3
fresh meadows,11366,4
fresh meadows,11367,4
gramercy park - murray hill,10010,111
gramercy park - murray hill,10016,149
gramercy park - murray hill,10017,54
gramercy park - murray hill,10022,96
greenpoint,11211,79
greenpoint,11222,117
greenwich village - soho,10012,113
greenwich village - soho,10013,95
greenwich village - soho,10014,185
high bridge - morrisania,10451,22
high bridge - morrisania,10452,33
high bridge - morrisania,10456,22
hunts point - mott haven,10454,9
hunts point - mott haven,10455,11
hunts point - mott haven,10459,16
hunts point - mott haven,10474,9
jamaica,11412,1
jamaica,11423,3
jamaica,11432,13
jamaica,11433,4
jamaica,11434,12
jamaica,11435,12
jamaica,11436,1
kingsbridge - riverdale,10463,29
kingsbridge - riverdale,10471,5
long island city - astoria,11101,43
long island city - astoria,11102,19
long island city - astoria,11103,22
long island city - astoria,11104,10
long island city - astoria,11105,23
long island city - astoria,11106,15
lower east side,10002,179
lower manhattan,10004,12
lower manhattan,10005,14
lower manhattan,10006,3
lower manhattan,10007,21
lower manhattan,10038,28
lower manhattan,10280,2
northeast bronx,10466,17
northeast bronx,10469,9
northeast bronx,10470,3
northeast bronx,10475,3
pelham - throgs neck,10461,17
pelham - throgs neck,10462,37
pelham - throgs neck,10464,5
pelham - throgs neck,10465,10
pelham - throgs neck,10472,17
pelham - throgs neck,10473,17
port richmond,10302,4
port richmond,10303,3
port richmond,10310,2
ridgewood -forest hills,11374,14
ridgewood -forest hills,11375,40
ridgewood -forest hills,11379,3
ridgewood -forest hills,11385,60
rockaway,11691,27
rockaway,11692,9
rockaway,11693,9
rockaway,11694,6
south beach - tottenville,10306,1
south beach - tottenville,10308,2
south beach - tottenville,10309,2
south beach - tottenville,10312,2
southeast queens,11413,1
southeast queens,11426,2
southeast queens,11427,1
southeast queens,11428,5
southeast queens,11429,1
southwest queens,11414,6
southwest queens,11415,10
southwest queens,11416,6
southwest queens,11417,8
southwest queens,11418,6
southwest queens,11419,4
southwest queens,11420,9
southwest queens,11421,5
stapleton - st. george,10301,13
stapleton - st. george,10304,6
stapleton - st. george,10305,4
sunset park,11220,29
sunset park,11232,9
union square - lower east side,10003,223
union square - lower east side,10009,217
upper east side,10021,91
upper east side,10028,111
upper east side,10044,7
upper east side,10128,73
upper west side,10023,115
upper west side,10024,139
upper west side,10025,204
washington heights,10031,110
washington heights,10032,74
washington heights,10033,57
washington heights,10034,26
washington heights,10040,64
west queens,11368,18
west queens,11369,3
west queens,11370,4
west queens,11372,15
west queens,11373,25
west queens,11377,16
west queens,11378,5
williamsburg - bushwick,11206,72
williamsburg - bushwick,11221,117
williamsburg - bushwick,11237,91
willowbrook,10314,14
