UHF_42,Incident_Address_Zip,mold_count
bayside - littleneck,11361,11
bayside - littleneck,11362,16
bayside - littleneck,11363,1
bayside - littleneck,11364,4
bedford stuyvesant - crown heights,11212,32
bedford stuyvesant - crown heights,11213,28
bedford stuyvesant - crown heights,11216,46
bedford stuyvesant - crown heights,11233,31
bedford stuyvesant - crown heights,11238,34
bensonhurst - bay ridge,11209,39
bensonhurst - bay ridge,11214,40
bensonhurst - bay ridge,11228,22
borough park,11204,10
borough park,11218,19
borough park,11219,7
borough park,11230,24
canarsie - flatlands,11234,57
canarsie - flatlands,11236,23
canarsie - flatlands,11239,2
central harlem - morningside heights,10026,7
central harlem - morningside heights,10027,38
central harlem - morningside heights,10030,14
central harlem - morningside heights,10037,6
central harlem - morningside heights,10039,10
chelsea - clinton,10001,109
chelsea - clinton,10011,46
chelsea - clinton,10018,24
chelsea - clinton,10019,67
chelsea - clinton,10020,2
chelsea - clinton,10036,50
coney island - sheepshead bay,11223,31
coney island - sheepshead bay,11224,32
coney island - sheepshead bay,11229,42
coney island - sheepshead bay,11235,66
crotona -tremont,10453,19
crotona -tremont,10457,13
crotona -tremont,10460,18
downtown - heights - slope,11201,40
downtown - heights - slope,11205,25
downtown - heights - slope,11215,30
downtown - heights - slope,11217,22
downtown - heights - slope,11231,18
east flatbush - flatbush,11203,23
east flatbush - flatbush,11210,20
east flatbush - flatbush,11225,14
east flatbush - flatbush,11226,35
east harlem,10029,15
east harlem,10035,19
east new york,11207,43
east new york,11208,12
flushing - clearview,11354,16
flushing - clearview,11355,9
flushing - clearview,11356,11
flushing - clearview,11357,8
flushing - clearview,11358,8
flushing - clearview,11360,3
fordham - bronx pk,10458,31
fordham - bronx pk,10467,23
fordham - bronx pk,10468,18
fresh meadows,11365,5
fresh meadows,11366,6
fresh meadows,11367,10
gramercy park - murray hill,10010,30
gramercy park - murray hill,10016,35
gramercy park - murray hill,10017,27
gramercy park - murray hill,10022,34
greenpoint,11211,25
greenpoint,11222,20
greenwich village - soho,10012,45
greenwich village - soho,10013,40
greenwich village - soho,10014,25
high bridge - morrisania,10451,13
high bridge - morrisania,10452,13
high bridge - morrisania,10456,27
hunts point - mott haven,10454,10
hunts point - mott haven,10455,12
hunts point - mott haven,10459,8
hunts point - mott haven,10474,5
jamaica,11412,17
jamaica,11423,4
jamaica,11432,22
jamaica,11433,18
jamaica,11434,22
jamaica,11435,11
jamaica,11436,8
kingsbridge - riverdale,10463,14
kingsbridge - riverdale,10471,16
long island city - astoria,11101,44
long island city - astoria,11102,8
long island city - astoria,11103,10
long island city - astoria,11104,4
long island city - astoria,11105,2
long island city - astoria,11106,13
lower east side,10002,49
lower manhattan,10004,10
lower manhattan,10005,6
lower manhattan,10006,2
lower manhattan,10007,14
lower manhattan,10038,16
lower manhattan,10280,1
northeast bronx,10466,11
northeast bronx,10469,18
northeast bronx,10470,7
northeast bronx,10475,6
pelham - throgs neck,10461,22
pelham - throgs neck,10462,17
pelham - throgs neck,10464,9
pelham - throgs neck,10465,16
pelham - throgs neck,10472,8
pelham - throgs neck,10473,14
port richmond,10302,12
port richmond,10303,31
port richmond,10310,18
ridgewood -forest hills,11374,12
ridgewood -forest hills,11375,25
ridgewood -forest hills,11379,9
ridgewood -forest hills,11385,29
rockaway,11691,18
rockaway,11692,17
rockaway,11693,12
rockaway,11694,49
south beach - tottenville,10306,81
south beach - tottenville,10307,7
south beach - tottenville,10308,21
south beach - tottenville,10309,20
south beach - tottenville,10312,47
southeast queens,11004,1
southeast queens,11411,3
southeast queens,11413,12
southeast queens,11422,5
southeast queens,11426,5
southeast queens,11427,5
southeast queens,11428,3
southeast queens,11429,9
southwest queens,11414,43
southwest queens,11415,8
southwest queens,11416,16
southwest queens,11417,10
southwest queens,11418,18
southwest queens,11419,13
southwest queens,11420,13
southwest queens,11421,18
stapleton - st. george,10301,28
stapleton - st. george,10304,25
stapleton - st. george,10305,36
sunset park,11220,12
sunset park,11232,20
union square - lower east side,10003,40
union square - lower east side,10009,23
upper east side,10021,14
upper east side,10028,17
upper east side,10044,2
upper east side,10128,20
upper west side,10023,23
upper west side,10024,33
upper west side,10025,38
washington heights,10031,15
washington heights,10032,10
washington heights,10033,6
washington heights,10034,9
washington heights,10040,2
west queens,11368,15
west queens,11369,8
west queens,11370,7
west queens,11372,12
west queens,11373,16
west queens,11377,14
west queens,11378,4
williamsburg - bushwick,11206,24
williamsburg - bushwick,11221,46
williamsburg - bushwick,11237,13
willowbrook,10314,70
