UHF_42,Incident_Address_Zip,sewageL_count
bayside - littleneck,11364,3
bedford stuyvesant - crown heights,11212,17
bedford stuyvesant - crown heights,11213,25
bedford stuyvesant - crown heights,11216,33
bedford stuyvesant - crown heights,11233,27
bedford stuyvesant - crown heights,11238,14
bensonhurst - bay ridge,11209,7
bensonhurst - bay ridge,11214,12
bensonhurst - bay ridge,11228,4
borough park,11204,3
borough park,11218,12
borough park,11219,4
borough park,11230,9
canarsie - flatlands,11234,7
canarsie - flatlands,11236,15
canarsie - flatlands,11239,1
central harlem - morningside heights,10026,5
central harlem - morningside heights,10027,18
central harlem - morningside heights,10030,11
central harlem - morningside heights,10037,2
central harlem - morningside heights,10039,7
chelsea - clinton,10001,9
chelsea - clinton,10011,6
chelsea - clinton,10018,3
chelsea - clinton,10019,5
chelsea - clinton,10036,5
coney island - sheepshead bay,11223,6
coney island - sheepshead bay,11224,6
coney island - sheepshead bay,11229,12
coney island - sheepshead bay,11235,7
crotona -tremont,10453,15
crotona -tremont,10457,11
crotona -tremont,10460,9
downtown - heights - slope,11201,6
downtown - heights - slope,11205,4
downtown - heights - slope,11215,12
downtown - heights - slope,11217,6
downtown - heights - slope,11231,11
east flatbush - flatbush,11203,9
east flatbush - flatbush,11210,8
east flatbush - flatbush,11225,8
east flatbush - flatbush,11226,35
east harlem,10029,12
east harlem,10035,5
east new york,11207,16
east new york,11208,17
flushing - clearview,11354,4
flushing - clearview,11355,2
flushing - clearview,11356,4
flushing - clearview,11357,3
flushing - clearview,11358,2
flushing - clearview,11360,1
fordham - bronx pk,10458,5
fordham - bronx pk,10467,16
fordham - bronx pk,10468,7
fresh meadows,11365,1
fresh meadows,11367,2
gramercy park - murray hill,10010,5
gramercy park - murray hill,10016,4
gramercy park - murray hill,10017,11
gramercy park - murray hill,10022,2
greenpoint,11211,11
greenpoint,11222,12
greenwich village - soho,10012,6
greenwich village - soho,10013,8
high bridge - morrisania,10451,6
high bridge - morrisania,10452,18
high bridge - morrisania,10456,16
hunts point - mott haven,10454,1
hunts point - mott haven,10455,5
hunts point - mott haven,10459,8
hunts point - mott haven,10474,2
jamaica,11412,12
jamaica,11423,8
jamaica,11432,6
jamaica,11433,9
jamaica,11434,11
jamaica,11435,10
jamaica,11436,6
kingsbridge - riverdale,10463,7
kingsbridge - riverdale,10471,4
long island city - astoria,11101,8
long island city - astoria,11103,1
long island city - astoria,11104,1
long island city - astoria,11105,7
long island city - astoria,11106,4
lower east side,10002,18
lower manhattan,10006,1
lower manhattan,10038,4
northeast bronx,10466,11
northeast bronx,10469,28
northeast bronx,10470,1
northeast bronx,10475,5
pelham - throgs neck,10461,5
pelham - throgs neck,10462,11
pelham - throgs neck,10464,1
pelham - throgs neck,10465,5
pelham - throgs neck,10472,13
pelham - throgs neck,10473,5
port richmond,10302,4
port richmond,10303,11
port richmond,10310,4
ridgewood -forest hills,11374,4
ridgewood -forest hills,11375,4
ridgewood -forest hills,11379,6
ridgewood -forest hills,11385,23
rockaway,11691,21
rockaway,11692,5
rockaway,11693,5
rockaway,11694,2
south beach - tottenville,10306,15
south beach - tottenville,10307,2
south beach - tottenville,10308,5
south beach - tottenville,10309,7
south beach - tottenville,10312,13
southeast queens,11004,1
southeast queens,11411,4
southeast queens,11413,4
southeast queens,11422,3
southeast queens,11426,1
southeast queens,11427,5
southeast queens,11428,1
southeast queens,11429,4
southwest queens,11414,1
southwest queens,11415,3
southwest queens,11416,2
southwest queens,11417,5
southwest queens,11418,3
southwest queens,11419,6
southwest queens,11420,6
southwest queens,11421,3
stapleton - st. george,10301,15
stapleton - st. george,10304,14
stapleton - st. george,10305,12
sunset park,11220,8
sunset park,11232,9
union square - lower east side,10003,3
union square - lower east side,10009,7
upper east side,10021,1
upper east side,10028,2
upper east side,10044,1
upper east side,10128,5
upper west side,10023,7
upper west side,10024,4
upper west side,10025,7
washington heights,10031,9
washington heights,10032,7
washington heights,10033,5
washington heights,10034,2
washington heights,10040,7
west queens,11368,10
west queens,11369,7
west queens,11372,4
west queens,11373,5
west queens,11377,7
west queens,11378,6
williamsburg - bushwick,11206,11
williamsburg - bushwick,11221,26
williamsburg - bushwick,11237,20
willowbrook,10314,12
